"key","lat","lon","order","family","genus","species","year","vernacularName"
1249289607,46.79367,-121.72823,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2016,NA
1249289606,46.79367,-121.72823,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2016,NA
1249289582,46.79367,-121.72823,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2016,NA
1265597125,46.75697,-122.01476,"Passeriformes","Turdidae","Turdus","Turdus migratorius",2016,NA
1265902848,46.78854,-121.8894,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2016,NA
1092907447,46.79401,-121.73614,"Passeriformes","Turdidae","Ixoreus","Ixoreus naevius",2015,NA
1092907426,46.79411,-121.73623,"Passeriformes","Fringillidae","Leucosticte","Leucosticte tephrocotis",2015,NA
1092907428,46.79401,-121.73614,"Passeriformes","Paridae","Poecile","Poecile gambeli",2015,NA
1092907330,46.78929,-121.73708,"Passeriformes","Fringillidae","Leucosticte","Leucosticte tephrocotis",2015,NA
1092907317,46.78929,-121.73708,"Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus",2015,NA
1092907467,46.79401,-121.73614,"Passeriformes","Regulidae","Regulus","Regulus satrapa",2015,NA
1092907366,46.79162,-121.77869,"Passeriformes","Cinclidae","Cinclus","Cinclus mexicanus",2015,NA
1099970263,46.91368,-121.64212,"Passeriformes","Turdidae","Sialia","Sialia currucoides",2015,NA
1099970278,46.9342,-121.67562,"Passeriformes","Corvidae","Corvus","Corvus corax",2015,NA
1134967752,46.79113,-121.73311,"Passeriformes","Motacillidae","Anthus","Anthus rubescens",2015,NA
1135530805,46.76838,-121.79053,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2015,NA
1135530836,46.76739,-121.79105,"Passeriformes","Corvidae","Corvus","Corvus corax",2015,NA
1135530866,46.76838,-121.79053,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2015,NA
1143527129,46.79064,-121.73286,"Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata",2015,NA
1265554843,46.91897,-121.63835,"Passeriformes","Emberizidae","Pooecetes","Pooecetes gramineus",2015,NA
1143558064,46.91535,-121.64292,"Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus",2015,NA
1143558087,46.76702,-121.63696,"Passeriformes","Emberizidae","Zonotrichia","Zonotrichia atricapilla",2015,NA
1143558008,46.91478,-121.64388,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2015,NA
1143558020,46.78974,-121.73652,"Passeriformes","Sittidae","Sitta","Sitta canadensis",2015,NA
1143558045,46.76702,-121.63696,"Passeriformes","Cinclidae","Cinclus","Cinclus mexicanus",2015,NA
1143558010,46.79263,-121.73512,"Passeriformes","Emberizidae","Zonotrichia","Zonotrichia atricapilla",2015,NA
1143557948,46.79157,-121.73553,"Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus",2015,NA
1143542682,46.93278,-121.86313,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2015,NA
1143533541,46.91794,-121.64598,"Passeriformes","Paridae","Poecile","Poecile gambeli",2015,NA
1143558046,46.91506,-121.64401,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2015,NA
1143533414,46.91828,-121.6664,"Passeriformes","Fringillidae","Leucosticte","Leucosticte tephrocotis",2015,NA
1143558036,46.9155,-121.64286,"Passeriformes","Corvidae","Nucifraga","Nucifraga columbiana",2015,NA
1143557892,46.79117,-121.73812,"Passeriformes","Emberizidae","Zonotrichia","Zonotrichia atricapilla",2015,NA
1143557961,46.91785,-121.6453,"Passeriformes","Turdidae","Turdus","Turdus migratorius",2015,NA
1143533508,46.91929,-121.65788,"Passeriformes","Sittidae","Sitta","Sitta canadensis",2015,NA
1143558044,46.91576,-121.64443,"Passeriformes","Emberizidae","Zonotrichia","Zonotrichia atricapilla",2015,NA
1143557947,46.86745,-121.51764,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2015,NA
1143558035,46.86884,-121.51655,"Passeriformes","Corvidae","Corvus","Corvus corax",2015,NA
1227739024,46.86987,-121.51931,"Passeriformes","Fringillidae","Spinus","Spinus pinus",2015,NA
1144981195,46.93444,-121.8651,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2015,NA
1229611715,46.78539,-121.73547,"Passeriformes","Corvidae","Corvus","Corvus corax",2015,NA
1151894435,46.7871,-121.734,"Passeriformes","Fringillidae","Pinicola","Pinicola enucleator",2014,"Pine Grosbeak"
1149101625,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1149479056,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2014,"Song Sparrow"
1149818725,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2014,"Song Sparrow"
1150503049,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
1150632186,46.7609,-122.019,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2014,"Steller's Jay"
1150932811,46.7871,-121.734,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2014,"Gray Jay"
1151806686,46.7871,-121.734,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2014,"Gray Jay"
1149611980,46.7609,-122.019,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2014,"Steller's Jay"
1150014835,46.7609,-122.019,"Passeriformes","Turdidae","Catharus","Catharus guttatus",2014,"Hermit Thrush"
1150503019,46.7609,-122.019,"Passeriformes","Turdidae","Catharus","Catharus guttatus",2014,"Hermit Thrush"
1151178079,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
1154444388,46.7609,-122.019,"Passeriformes","Turdidae","Catharus","Catharus guttatus",2014,"Hermit Thrush"
1207462253,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
1150027123,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2014,"Song Sparrow"
1150309414,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
1150509692,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1150958583,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1151628695,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
1151769038,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1154623189,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1150958590,46.7609,-122.019,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2014,"Steller's Jay"
1149333268,46.7609,-122.019,"Piciformes","Picidae","Colaptes","Colaptes auratus",2014,"Northern Flicker"
1150014860,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1150503110,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1151628683,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1149333249,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
1149479047,46.7609,-122.019,"Passeriformes","Turdidae","Catharus","Catharus guttatus",2014,"Hermit Thrush"
1149818750,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2014,"Spotted Towhee"
1150272454,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2014,"Song Sparrow"
1150508698,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
1150764963,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
1150935559,46.7871,-121.734,"Passeriformes","Corvidae","Corvus","Corvus corax",2014,"Common Raven"
1151806727,46.7871,-121.734,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2014,"Steller's Jay"
1150329666,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2014,"Song Sparrow"
1150632198,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2014,"Song Sparrow"
1150764985,46.7609,-122.019,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2014,"Steller's Jay"
1150958567,46.7609,-122.019,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2014,"Dark-eyed Junco"
